source_key,address,neighborhood
pdf-2026-06-30-001,Lavaissé y Entre Ríos,Toledo
pdf-2026-06-30-002,Bernabé Aráoz 1700 y José Malabia,Sgto Lay
pdf-2026-06-30-003,Democracia y Ayacucho,El Gráfico/Diza
pdf-2026-06-30-004,"Hernando de Magallanes 300, entre las Heras y Congreso",Villa Amalia
pdf-2026-06-30-005,Berutti y Anselmo Rojo,
pdf-2026-06-30-006,Méjico 4300 - Gregorio V. de Andrade 1900,Congreso
pdf-2026-06-30-007,Ecuador 4200,O'Connors
pdf-2026-06-30-008,Suipacha 1300,Villa Urquiza
pdf-2026-06-30-009,Juramento a la Bandera y Yamandú Rodríguez,Las Brisas
pdf-2026-06-30-010,"Américo Vespucio 1600, esquina Próspero Mena",Juan B Terán
pdf-2026-06-30-011,Pje. Vega 1065 y La Rioja,El Cruce
pdf-2026-06-30-012,Saavedra 2300,Aguas Corrientes
pdf-2026-06-30-013,Asunción 1100 y Pje. Arenales,El Bosque
pdf-2026-06-30-014,"Isabel la Católica 1800, esquina San Miguel",Gas del estado
pdf-2026-06-30-015,Santiago 3200,SITRAVI I
pdf-2026-06-30-016,Av. Mate de Luna y Av. América (hasta Pje. Del Prado),Belgrano
pdf-2026-06-30-017,Batalla de Boyaca y Adolfo Alsina. Detrás de la Coca. Son dos plazas,SMATA I
pdf-2026-06-30-018,Pje. Juan Cruz Varela entre 38/51 NO y Paso de los Andes,16 de Junio
pdf-2026-06-30-019,Rafael Obligado y Calle 63 NO,Telefónico
pdf-2026-06-30-020,Anselmo Rojo desde Belisario López hasta Rotonda de San Cayetano,
pdf-2026-06-30-021,Lidoro Quinteros y San Genaro P.U. 471,314 Viviendas
pdf-2026-06-30-022,Av. 71 Noreste,
pdf-2026-06-30-023,Desde Cuba hasta Atahualpa - P.U. 1-371-372-374-377-39-40-37-371 - Parte del P.U. 38 (sin Plaza Héroes de Malvina y P.U. 375),
pdf-2026-06-30-024,Pje. Sáenz Peña 3700,Cooperget
pdf-2026-06-30-025,"Santiago del Estero 1800, esquina Pje. Félix Frias",Don Bosco
pdf-2026-06-30-026,Ayacucho 4100 y Araujo,Blasco
pdf-2026-06-30-027,Alsina entre Moreno y Entre Ríos,Villa Alem
pdf-2026-06-30-028,"Alsina, entre Pje. Neuquén y Entre Ríos",Villa Alem
pdf-2026-06-30-029,Eugenio Méndez 400,San Cayetano
pdf-2026-06-30-030,Fortunata García y Ayacucho,Eva Perón
pdf-2026-06-30-031,Pasaje Einstein y La Rioja,Los Andes
pdf-2026-06-30-032,Sargento Cabral 2100,Echeverría
pdf-2026-06-30-033,PU: 44 y 69,
pdf-2026-06-30-034,Colombia 4600,Los Tarcos II
pdf-2026-06-30-035,Olleros y Av. Colón 2200,Sutiaga
pdf-2026-06-30-036,O'Higgins 1900 y Pje. José Benito González,Los Vásquez
pdf-2026-06-30-037,Italia entre Balcarce y 25 de Mayo,
pdf-2026-06-30-038,"Av. Belgrano, Camino del Perú, Viamonte",
pdf-2026-06-30-039,"Av. Mate de Luna, Camino del Perú, Viamonte",
pdf-2026-06-30-040,Catamarca entre Santiago e Italia,
pdf-2026-06-30-041,Av. Benjamín Aráoz entre Circunvalación y Soldati,
pdf-2026-06-30-042,Av. Gdor. Del Campo entre Circunvalación y Soldati,
pdf-2026-06-30-043,"Av. Alem y Av. Mitre, desde Plazoleta Mitre hasta Magallanes",
pdf-2026-06-30-044,Av. Sarmiento entre J.B. Justo y Lucas Córdoba,
pdf-2026-06-30-045,Av. Colectora Canal Sur - desde Independencia hasta Américo Vespucio lado este,
pdf-2026-06-30-046,Av. Independencia entre Alem y Canal Sur,
pdf-2026-06-30-047,Boulevard de Av. Independencia desde Gerónimo Helguera hasta Huemul,
pdf-2026-06-30-048,Av. Ejército del Norte/Colón desde Fco. de Aguirre hasta Américo Vespucio,
pdf-2026-06-30-049,Alfredo Guzmán - Camino del Perú entre Crisóstomo y Belgrano,
pdf-2026-06-30-050,Juan B. Justo/Avellaneda/Sáenz Peña de Fco. de Aguirre hasta Roca,
pdf-2026-06-30-051,Av. Martín Berho desde Av. Juan B. Justo hasta Coronel Suárez,
pdf-2026-06-30-052,Democracia entre Jujuy y Circunvalación,
pdf-2026-06-30-053,Av. México desde República de Líbano hasta Av. Ejército del Norte,
pdf-2026-06-30-054,Av. Papa Francisco desde Av. Benjamín Aráoz hasta Rotonda de San Cayetano,
pdf-2026-06-30-055,Av. Estado de Israel e Italia hasta Rotonda de calle Ecuador (incluida),
pdf-2026-06-30-056,Av. Santiago del Estero desde Dr. Alfredo Amenabar hasta Esteban Echeverría,
pdf-2026-06-30-057,Av. Benjamín Aráoz y Av. Papa Francisco,
pdf-2026-06-30-058,Pedro Miguel Aráoz entre Papa Francisco y Silvano Bores,
pdf-2026-06-30-059,Jujuy entre Plata y Democracia,
pdf-2026-06-30-060,Av. Coronel Suárez desde Martín Berho hasta Benjamín Aráoz,
pdf-2026-06-30-061,Av. Fco. de Aguirre desde Juan B. Justo hasta Camino del Perú,
pdf-2026-06-30-062,Brígido Terán desde 24 de Septiembre hasta Av. Roca,
pdf-2026-06-30-063,Av. Américo Vespucio desde Av. Alem hasta Canal Sur,
pdf-2026-06-30-064,José Ingenieros entre Papa Francisco y Brígido Terán,
pdf-2026-06-30-065,Pedro Miguel Aráoz entre Papa Francisco y Sáenz Peña,
pdf-2026-06-30-066,Av. Coronel Zelaya desde Canal Sur hasta Av. Manantial,
pdf-2026-06-30-067,Av. Roca desde Plazoleta Dorrego hasta Av. Alem,
pdf-2026-06-30-068,Av. Siria desde Sarmiento hasta Acceso Norte,
pdf-2026-06-30-069,Av. Colón desde América y Olleros hasta Av. Manantial,
pdf-2026-06-30-070,351-352-356-358-357-353-354-355-360-361-363-364-365-366-359,
pdf-2026-06-30-071,ACCESO NORTE P.U. 97-81-82-83-84-145-35-85-86-74-146,
